Zipcode,Accuracy,Precision,Recall,F1 Score
98115,0.282952253,0.135811514,0.282952253,0.170349683
98105,0.249445983,0.133860231,0.249445983,0.143474048
98199,0.316683317,0.128951739,0.316683317,0.178705249
98103,0.293567251,0.145512362,0.293567251,0.177218701
98122,0.223600196,0.111632746,0.223600196,0.134088417
98144,0.264961726,0.134239173,0.264961726,0.157477923
98102,0.252567237,0.102249994,0.252567237,0.141895895
98108,0.214630429,0.132009886,0.214630429,0.156602526
98119,0.306546696,0.143227345,0.306546696,0.19430094
98134,0.341384283,0.261265788,0.341384283,0.191802408
98109,0.350810574,0.191724691,0.350810574,0.231181296
11601,0.323809524,0.104852608,0.323809524,0.158410415
98104,0.304107425,0.183487617,0.304107425,0.191778473
98126,0.247453171,0.109772777,0.247453171,0.147500075
98116,0.219445395,0.090292717,0.219445395,0.122418343
98107,0.255004352,0.129351925,0.255004352,0.164531406
98101,0.332891247,0.154968807,0.332891247,0.200825312
13241,0.289772727,0.112198691,0.289772727,0.142137784
98125,0.269145803,0.179726675,0.269145803,0.190773102
10530,0.184615385,0.03408284,0.184615385,0.057542458
98121,0.367853042,0.180324797,0.367853042,0.228845218
98106,0.194013304,0.060705121,0.194013304,0.092230551
72751,0.5,0.25,0.5,0.333333333
13802,0.25,0.0625,0.25,0.1
98133,0.214666667,0.090598513,0.214666667,0.117314218
98112,0.278460007,0.13440887,0.278460007,0.155126789
98118,0.251139471,0.143718063,0.251139471,0.175734267
98117,0.288690476,0.149510895,0.288690476,0.182956672
98136,0.276960784,0.128878644,0.276960784,0.145302562
13805,1,1,1,1
11500,0.37037037,0.137174211,0.37037037,0.2002002
10529,0.125,0.015625,0.125,0.027777778
12032,0.236842105,0.056094183,0.236842105,0.090705487
13330,0.166666667,0.027777778,0.166666667,0.047619048
13727,0.166666667,0.027777778,0.166666667,0.047619048
11240,0.166666667,0.027777778,0.166666667,0.047619048
13761,0.666666667,0.444444444,0.666666667,0.533333333
98146,0.311320755,0.096920612,0.311320755,0.147821366
10432,0.133333333,0.017777778,0.133333333,0.031372549
98181,0.343434343,0.161616162,0.343434343,0.21355804
98178,0.252066116,0.090458302,0.252066116,0.131934366
10024,0.363636364,0.132231405,0.363636364,0.193939394
11024,0.105263158,0.011080332,0.105263158,0.020050125
10046,0.2,0.04,0.2,0.066666667
13732,0.136363636,0.018595041,0.136363636,0.032727273
11205,0.6,0.36,0.6,0.45
10023,0.222222222,0.049382716,0.222222222,0.080808081
10735,0.282051282,0.108502024,0.282051282,0.154076808
13131,0.4,0.16,0.4,0.228571429
10122,0.25,0.0625,0.25,0.1
